DEPTH,GR,NPHI,RHOB,RT,DT
2632.5576,43.15,,,0.35,
2632.71,43.43,,,0.34,
2632.8624,42.11,,,0.33,
2633.0148000000004,38.94,,,0.35,
2633.1672000000003,37.17,,,0.37,
2633.3196000000003,34.56,,,0.4,
2633.472,36.81,,,0.38,
2633.6244,35.77,,,0.41,
2633.7768,37.09,,,0.43,
2633.9292,36.44,,,0.39,
2634.0816,38.32,,,0.4,
2634.2340000000004,40.17,,,0.39,
2634.3864000000003,41.1,,,0.44,
2634.5388000000003,42.5,,,0.44,
2634.6912,41.21,,,0.39,
2634.8436,42.73,,,0.4,
2634.996,42.73,,,0.39,
2635.1484,42.81,,,0.42,
2635.3008,40.37,,,0.4,
2635.4532000000004,39.98,,,0.42,
2635.6056000000003,40.54,,,0.39,
2635.7580000000003,39.98,,,0.4,
2635.9104,37.37,,,0.4,
2636.0628,37.25,,,0.4,
2636.2152,36.89,,,0.41,
2636.3676,38.77,,,0.39,
2636.52,38.6,,,0.39,
2636.6724000000004,40.73,,,0.39,
2636.8248000000003,39.41,,,0.36,
2636.9772000000003,39.05,,,0.33,
2637.1296,36.53,,,0.36,
2637.282,37.76,,,0.39,
2637.4344,38.77,,,0.4,
2637.5868,38.85,,,0.34,
2637.7392,39.41,,,0.3,
2637.8916000000004,37.45,,,0.31,
2638.0440000000003,37.45,,,0.36,
2638.1964000000003,35.09,,,0.36,
2638.3488,36.05,,,0.34,
2638.5012,36.05,,,0.35,
2638.6536,35.21,,,0.39,
2638.806,36.05,,,0.44,
2638.9584,37.65,,,0.46,
2639.1108000000004,37.56,,,0.51,
2639.2632000000003,36.33,,,0.48,
2639.4156000000003,37.37,,,0.53,
2639.568,40.65,,,0.58,
2639.7204,38.8,,,0.66,
2639.8728,38.43,,,0.74,
2640.0252,46.09,,,0.82,
2640.1776,69.18,,,0.84,
2640.3300000000004,89.46,,,0.86,
2640.4824000000003,99.65,,,0.86,
2640.6348000000003,94.51,,,0.92,
2640.7872,84.69,,,1.02,
2640.9396,79.28,,,1.12,
2641.092,76.84,,,1.08,
2641.2444,81.49,,,1.0,
2641.3968,84.1,,,0.84,
2641.5492000000004,87.11,,,0.77,
2641.7016000000003,85.9,,,0.75,
2641.8540000000003,87.22,,,0.73,
2642.0064,90.67,,,0.65,
2642.1588,89.38,,,0.66,
2642.3112,83.49,,,1.28,
2642.4636,78.8,,,0.87,
2642.616,79.17,,,0.87,
2642.7684000000004,76.92,,,0.88,
2642.9208000000003,70.11,,,1.4,
2643.0732000000003,59.44,,,3.35,
2643.2256,51.23,,,5.01,
2643.378,44.02,,,5.63,
2643.5304,41.94,,,6.69,
2643.6828,47.44,,,5.37,
2643.8352,52.04,,,3.26,
2643.9876000000004,56.44,,,3.79,
2644.1400000000003,58.6,,,3.02,
2644.2924000000003,62.9,,,1.98,
2644.4448,73.56,,,1.36,
2644.5972,82.53,,,0.92,
2644.7496,91.71,,,0.79,
2644.902,95.72,,,0.74,
2645.0544,99.06,,,0.71,
2645.2068000000004,94.76,,,0.68,
2645.3592000000003,82.98,,,0.56,
2645.5116000000003,61.77,,,0.49,
2645.664,48.67,,,0.31,
2645.8164,43.74,,,0.26,
2645.9688,45.14,,,0.21,
2646.1212,44.49,,,0.23,
2646.2736,40.54,,,0.21,
2646.4260000000004,38.74,,,0.25,
2646.5784000000003,36.86,,,0.16,
2646.7308000000003,39.67,,,0.15,
2646.8832,41.66,,,0.23,
2647.0356,50.08,,,0.32,
2647.188,60.37,,,0.69,
2647.3404,65.87,,,0.62,
2647.4928,63.46,,,0.38,
2647.6452000000004,54.4,,,0.29,
2647.7976000000003,49.71,,,0.33,
2647.9500000000003,42.95,,,0.39,
2648.1024,40.06,,,0.39,
2648.2548,39.78,,,0.4,
2648.4072,42.22,,,0.37,
2648.5596,41.74,,,0.39,
2648.712,39.13,,,0.38,
2648.8644000000004,38.85,,,0.5,
2649.0168000000003,40.73,,,0.54,
2649.1692000000003,42.33,,,0.64,
2649.3216,44.02,,,0.76,
2649.474,47.07,,,0.9,
2649.6264,51.93,,,1.03,
2649.7788,56.89,,,0.98,
2649.9312,59.61,,,0.93,
2650.0836000000004,57.37,,,0.88,
2650.2360000000003,56.98,,,0.87,
2650.3884000000003,58.66,,,0.86,
2650.5408,58.38,,,0.78,
2650.6932,54.45,,,0.67,
2650.8456,49.79,,,0.64,
2650.998,49.71,,,0.59,
2651.1504,49.54,,,0.49,
2651.3028000000004,47.75,,,0.43,
2651.4552000000003,46.34,,,0.36,
2651.6076000000003,46.43,,,0.34,
2651.76,44.86,,,0.36,
2651.9124,43.09,,,0.28,
2652.0648,40.96,,,0.3,
2652.2172,39.44,,,0.31,
2652.3696,40.17,,,0.37,
2652.5220000000004,42.11,,,0.31,
2652.6744000000003,44.18,,,0.32,
2652.8268000000003,43.99,,,0.31,
2652.9792,43.54,,,0.28,
2653.1316,42.14,,,0.32,
2653.284,42.81,,,0.23,
2653.4364,40.65,,,0.29,
2653.5888,40.73,,,0.25,
