DEPTH,GR,NPHI,RHOB,RT,DT,PEF
299.1612,49.161,,,,,
299.3136,48.871,,,,,
299.466,48.582,,,,,
299.6184,48.292,,,,,
299.7708,48.002,,,,,
299.9232,47.712,,,,,
300.0756,50.335,,,,,
300.228,55.919,,,,,
300.3804,61.502,,,,,
300.5328,66.009,,,,,
300.6852,66.588,,,,,
300.8376,67.167,,,,,
300.99,67.746,,,,,
301.1424,64.885,,,,,
301.2948,61.784,,,,,
301.4472,58.682,,,,,
301.5996,54.58,,,,,
301.752,49.949,,,,,
301.9044,45.318,,,,,
302.0568,43.579,,,,,
302.2092,46.709,,,,,
302.3616,49.839,,,,,
302.514,52.966,,,,,
302.6664,56.065,,,,,
302.8188,59.165,,,,,
302.9712,62.264,,,,,
303.1236,61.674,,,,,
303.276,60.224,,,,,
303.4284,58.774,,,,,
303.5808,58.154,,,,,
303.7332,58.271,,,,,
303.8856,58.387,,,,,
304.038,57.5,,,,,
304.1904,53.595,,,,,
304.3428,49.691,,,,,
304.4952,45.786,,,,,
304.6476,41.544,,,,,
304.8,37.291,,,,,
304.9524,33.039,,,,,
305.1048,32.428,,,,,
305.2572,33.472,,,,,
305.4096,34.516,,,,,
305.562,35.56,,,,,
305.7144,36.603,,,,,
305.8668,37.647,,,,,
306.0192,38.664,,,,,
306.1716,39.495,,,,,
306.324,40.326,,,,,
306.4764,41.158,,,,,
306.6288,41.989,,,,,
306.7812,42.82,,,,,
306.9336,43.652,,,,,
307.086,44.483,,,,,
307.2384,45.314,,,,,
307.3908,46.145,,,,,
307.5432,46.977,,,,,
307.6956,47.808,,,,,
307.848,48.639,,,,,
308.0004,49.468,,,,,
308.1528,48.615,,,,,
308.3052,47.765,,,,,
308.4576,46.914,,,,,
308.61,44.571,,,,,
308.7624,41.652,,,,,
308.9148,38.733,,,,,
309.0672,36.85,,,,,
309.2196,36.282,,,,,
309.372,35.713,,,,,
309.5244,35.145,,,,,
309.6768,34.576,,,,,
309.8292,34.007,,,,,
309.9816,33.439,,,,,
310.134,32.87,,,,,
310.2864,32.301,,,,,
310.4388,31.733,,,,,
310.5912,31.164,,,,,
310.7436,30.595,,,,,
310.896,30.027,,,,,
311.0484,29.458,,,,,
311.2008,28.889,,,,,
311.3532,28.321,,,,,
311.5056,27.752,,,,,
311.658,27.184,,,,,
311.8104,26.615,,,,,
311.9628,26.046,,,,,
312.1152,25.478,,,,,
312.2676,24.909,,,,,
312.42,24.34,,,,,
312.5724,23.772,,,,,
312.7248,23.203,,,,,
312.8772,22.634,,,,,
313.0296,22.066,,,,,
313.182,21.497,,,,,
313.3344,20.928,,,,,
313.4868,20.36,,,,,
313.6392,19.791,,,,,
313.7916,19.222,,,,,
313.944,18.654,,,,,
314.0964,18.085,,,,,
314.2488,17.517,,,,,
